transactionID,userID,categoryID,amount,type,date,description,paymentMethod,merchantName,merchantLocation,latitude,longitude,tags,isSynced,lastModifiedAt,location,isDeleted,deletedAt,createdBy,hasAttachment,recurTxnID,parentTransactionID,createdAt
txn001,u002,cat001,50000,EXPENSE,2025-01-10T08:30:00Z,Ăn sáng Starbucks,CASH,Starbucks,Quận 1 TPHCM,10.7769,106.7009,"[""work""]",TRUE,2025-01-10T08:31:00Z,Quận 1 TPHCM,FALSE,,USER,FALSE,,,2025-01-10T08:30:00Z
txn002,u002,cat002,500000,EXPENSE,2025-01-09T14:00:00Z,Tiền điện tháng 1,BANK_TRANSFER,EVN HCMC,,,,TRUE,2025-01-09T14:01:00Z,,FALSE,,USER,FALSE,,,2025-01-09T14:00:00Z
txn003,u003,cat001,150000,EXPENSE,2025-01-10T12:15:00Z,Ăn trưa The Pizza Company,CREDIT_CARD,The Pizza Company,Quận 3 TPHCM,10.7860,106.6867,[],TRUE,2025-01-10T12:16:00Z,Quận 3 TPHCM,FALSE,,USER,TRUE,,,2025-01-10T12:15:00Z
txn004,u003,cat008,20000000,INCOME,2025-01-05T09:00:00Z,Lương tháng 1,BANK_TRANSFER,,,,,TRUE,2025-01-05T09:01:00Z,,FALSE,,USER,FALSE,,,2025-01-05T09:00:00Z
txn005,u004,cat007,200000,EXPENSE,2025-01-08T07:45:00Z,Đổ xăng,CASH,Petrolimex,Quận 10 TPHCM,10.7722,106.6681,"[""vehicle""]",TRUE,2025-01-08T07:46:00Z,Quận 10 TPHCM,FALSE,,USER,FALSE,,,2025-01-08T07:45:00Z
txn006,u005,cat003,5000000,EXPENSE,2025-01-06T10:30:00Z,Học phí kỳ 1,BANK_TRANSFER,ĐH Bách Khoa,,,,TRUE,2025-01-06T10:31:00Z,,FALSE,,USER,FALSE,,,2025-01-06T10:30:00Z
txn007,u005,cat008,25000000,INCOME,2025-01-01T08:00:00Z,Lương tháng 1,BANK_TRANSFER,,,,,TRUE,2025-01-01T08:01:00Z,,FALSE,,USER,FALSE,,,2025-01-01T08:00:00Z
txn008,u007,cat005,300000,EXPENSE,2025-01-09T18:20:00Z,Vé xem phim,CREDIT_CARD,CGV Vincom,Quận 1 TPHCM,10.7795,106.6999,"[""entertainment""]",TRUE,2025-01-09T18:21:00Z,Quận 1 TPHCM,FALSE,,USER,FALSE,,,2025-01-09T18:20:00Z
txn009,u008,cat006,1500000,EXPENSE,2025-01-07T15:00:00Z,Mua áo khoác,E_WALLET,H&M,Quận 1 TPHCM,10.7730,106.6989,"[""shopping""]",TRUE,2025-01-07T15:01:00Z,Quận 1 TPHCM,FALSE,,USER,FALSE,,,2025-01-07T15:00:00Z
txn010,u009,cat004,800000,EXPENSE,2025-01-08T16:30:00Z,Khám răng,CASH,Nha Khoa Kim,Quận 3 TPHCM,10.7859,106.6871,"[""health""]",TRUE,2025-01-08T16:31:00Z,Quận 3 TPHCM,FALSE,,USER,TRUE,,,2025-01-08T16:30:00Z
