templateID,templateName,description,isSystemDefault,userID,allocations,createdAt
temp001,50-30-20 Chuẩn,Quy tắc ngân sách cổ điển: 50% Thiết yếu - 30% Mong muốn - 20% Tiết kiệm,TRUE,,"{""necessities"":50,""wants"":30,""savings"":20,""categories"":{""cat001"":15,""cat002"":20,""cat003"":10,""cat004"":5,""cat005"":15,""cat006"":15,""cat007"":10,""savings"":20}}",2025-01-01T00:00:00Z
temp002,70-20-10 Tiết kiệm cao,Dành cho người muốn tiết kiệm nhiều,TRUE,,"{""necessities"":70,""wants"":20,""savings"":10,""categories"":{""cat001"":25,""cat002"":25,""cat003"":15,""cat004"":5,""cat005"":10,""cat006"":10,""cat007"":10}}",2025-01-01T00:00:00Z
temp003,60-30-10 Cân bằng,Cân bằng giữa chi tiêu và tiết kiệm,TRUE,,"{""necessities"":60,""wants"":30,""savings"":10,""categories"":{""cat001"":20,""cat002"":20,""cat003"":15,""cat004"":5,""cat005"":15,""cat006"":15,""cat007"":10}}",2025-01-01T00:00:00Z
temp004,80-15-5 Sinh viên,Dành cho sinh viên có thu nhập hạn chế,TRUE,,"{""necessities"":80,""wants"":15,""savings"":5,""categories"":{""cat001"":30,""cat002"":20,""cat003"":20,""cat004"":5,""cat005"":10,""cat006"":5,""cat007"":10}}",2025-01-01T00:00:00Z
temp005,40-30-30 Đầu tư,Dành nhiều cho đầu tư và tiết kiệm,TRUE,,"{""necessities"":40,""wants"":30,""savings"":30,""categories"":{""cat001"":15,""cat002"":15,""cat003"":5,""cat004"":5,""cat005"":15,""cat006"":15,""cat007"":10,""savings"":30}}",2025-01-01T00:00:00Z
temp006,Custom - Gia đình 4 người,Mẫu tùy chỉnh cho gia đình,FALSE,u002,"{""necessities"":55,""wants"":25,""savings"":20,""categories"":{""cat001"":20,""cat002"":20,""cat003"":10,""cat004"":5,""cat005"":10,""cat006"":15,""cat007"":10,""savings"":20}}",2025-01-02T10:00:00Z
temp007,Custom - Người độc thân,Mẫu cho người sống một mình,FALSE,u003,"{""necessities"":45,""wants"":35,""savings"":20,""categories"":{""cat001"":15,""cat002"":15,""cat003"":10,""cat004"":5,""cat005"":20,""cat006"":15,""cat007"":10,""savings"":20}}",2025-01-02T11:30:00Z
temp008,50-40-10 Linh hoạt,Linh hoạt trong chi tiêu,TRUE,,"{""necessities"":50,""wants"":40,""savings"":10,""categories"":{""cat001"":15,""cat002"":20,""cat003"":10,""cat004"":5,""cat005"":20,""cat006"":20,""cat007"":10}}",2025-01-01T00:00:00Z
temp009,65-25-10 Ổn định,Ưu tiên chi tiêu thiết yếu,TRUE,,"{""necessities"":65,""wants"":25,""savings"":10,""categories"":{""cat001"":20,""cat002"":25,""cat003"":15,""cat004"":5,""cat005"":12,""cat006"":13,""cat007"":10}}",2025-01-01T00:00:00Z
temp010,Custom - Thu nhập cao,Mẫu cho người thu nhập cao,FALSE,u007,"{""necessities"":35,""wants"":40,""savings"":25,""categories"":{""cat001"":12,""cat002"":13,""cat003"":5,""cat004"":5,""cat005"":20,""cat006"":20,""cat007"":10,""savings"":25}}",2025-01-04T14:00:00Z
